nom_complet,date_naissance,prenom,nom_famille,taille,poids,pays,poste,club,division
Brian Alainu'uese,19/03/1994,Brian,Alainu'uese,202,132,Samoa,2ème ligne,Toulon,Top 14
Hugo Auradou,20/07/2003,Hugo,Auradou,200,105,France,2ème ligne,Pau,Top 14
Pierre-Henri Azagoh,25/07/1998,Pierre-Henri,Azagoh,196,103,France,2ème ligne,Stade Francais Paris,Top 14
Lewis Bean,12/02/1992,Lewis,Bean,203,129,Angleterre,2ème ligne,Montauban,Top 14
Adam Beard,07/01/1996,Adam,Beard,203,121,PdG,2ème ligne,Montpellier,Top 14
Clement Bitz,29/12/1994,Clement,Bitz,195,113,France,2ème ligne,Montauban,Top 14
Jacques Botha,13/11/2006,Jacques,Botha,193,104,Afrique du sud,2ème ligne,Stade Francais Paris,Top 14
Frank Bradshaw-Ryan,27/07/1995,Frank,Bradshaw-Ryan,205,125,Irlande,2ème ligne,Montauban,Top 14
Joshua Brennan,28/11/2001,Joshua,Brennan,199,118,Irlande,2ème ligne,Toulouse,Top 14
Mickael Capelli,18/03/1997,Mickael,Capelli,198,126,#N/A,2ème ligne,Pau,Top 14
Cyril Cazeaux,10/02/1995,Cyril,Cazeaux,198,117,France,2ème ligne,Bordeaux Bègles,Top 14
Thomas Ceyte,13/02/1991,Thomas,Ceyte,196,117,France,2ème ligne,Clermont,Top 14
Bastien Chalureau,13/02/1992,Bastien,Chalureau,202,118,France,2ème ligne,Montpellier,Top 14
Bastien Chinarro,23/01/2004,Bastien,Chinarro,196,95,France,2ème ligne,Perpignan,Top 14
Adam Coleman,07/10/1991,Adam,Coleman,207,122,Australie,2ème ligne,Bordeaux Bègles,Top 14
Ultan Dillane,09/11/1993,Ultan,Dillane,198,115,Irlande,2ème ligne,La Rochelle,Top 14
Kane Douglas,01/06/1989,Kane,Douglas,202,119,Australie,2ème ligne,La Rochelle,Top 14
Guillaume Ducat,20/05/1996,Guillaume,Ducat,205,115,France,2ème ligne,Castres,Top 14
Tyler Duguid,17/10/2000,Tyler,Duguid,201,124,Canada,2ème ligne,Montpellier,Top 14
Efrain Elias,30/04/2004,Efrain,Elias,201,119,#N/A,2ème ligne,Toulouse,Top 14
Vaea Fifita,17/06/1992,Vaea,Fifita,196,107,Tonga,2ème ligne,Montauban,Top 14
Thibaud Flament,29/04/1997,Thibaud,Flament,203,116,France,2ème ligne,Toulouse,Top 14
Paul Gabrillagues,03/06/1993,Paul,Gabrillagues,197,106,France,2ème ligne,Stade Francais Paris,Top 14
Killian Geraci,25/03/1999,Killian,Geraci,200,115,#N/A,2ème ligne,Lyon,Top 14
Jonny Gray,14/03/1994,Jonny,Gray,198,122,Ecosse,2ème ligne,Bordeaux Bègles,Top 14
Mickael Guillard,10/12/2000,Mickael,Guillard,197,113,#N/A,2ème ligne,Lyon,Top 14
Matthias Halagahu,15/08/2001,Matthias,Halagahu,194,113,France,2ème ligne,Toulon,Top 14
Max Hicks,15/09/1999,Max,Hicks,199,112,Nouvelle-Zélande,2ème ligne,Perpignan,Top 14
Jonny Hill,08/06/1994,Jonny,Hill,202,133,Angleterre,2ème ligne,Racing 92,Top 14
Paul Jedrasiak,06/02/1993,Paul,Jedrasiak,200,121,France,2ème ligne,Castres,Top 14
Ewan Johnson,27/06/1999,Ewan,Johnson,203,120,Ecosse,2ème ligne,Bayonne,Top 14
Thomas Jolmes,08/10/1995,Thomas,Jolmes,204,117,#N/A,2ème ligne,Pau,Top 14
Junior Kpoku,10/09/2005,Junior,Kpoku,204,119,Angleterre,2ème ligne,Racing 92,Top 14
Joel Kpoku,22/06/1999,Joel,Kpoku,196,114,Angleterre,2ème ligne,Pau,Top 14
Thomas Lainault,28/12/1993,Thomas,Lainault,197,112,France,2ème ligne,Racing 92,Top 14
Felix Lambey,15/03/1994,Felix,Lambey,196,107,#N/A,2ème ligne,Lyon,Top 14
Thibaud Lanen,01/04/1998,Thibaud,Lanen,198,109,France,2ème ligne,Clermont,Top 14
Thomas Lavault,03/05/1999,Thomas,Lavault,198,108,France,2ème ligne,La Rochelle,Top 14
Brent Liufau,21/03/2004,Brent,Liufau,196,128,France,2ème ligne,Pau,Top 14
Romain Macurdy,21/09/2001,Romain,Macurdy,201,109,France,2ème ligne,Castres,Top 14
Gauthier Maravat,11/06/2000,Gauthier,Maravat,198,112,France,2ème ligne,Castres,Top 14
Jimi Maximin,03/04/1999,Jimi,Maximin,205,133,France,2ème ligne,Pau,Top 14
Ollie McCrea,18/10/2004,Ollie,McCrea,197,119,Australie,2ème ligne,Stade Francais Paris,Top 14
Emmanuel Meafou,12/07/1998,Emmanuel,Meafou,203,145,Australie,2ème ligne,Toulouse,Top 14
Alex Moon,06/09/1996,Alex,Moon,202,127,Angleterre,2ème ligne,Bayonne,Top 14
Victor Moreaux,19/09/1993,Victor,Moreaux,198,127,France,2ème ligne,Montauban,Top 14
Leone Nakarawa,02/04/1988,Leone,Nakarawa,200,115,Fidji,2ème ligne,Castres,Top 14
Jacques Nguimbous,11/01/2005,Jacques,Nguimbous,198,127,France,2ème ligne,Bordeaux Bègles,Top 14
Boris Palu,04/02/1996,Boris,Palu,194,113,France,2ème ligne,Bordeaux Bègles,Top 14
Lucas Paulos,09/01/1998,Lucas,Paulos,199,123,Argentine,2ème ligne,Bayonne,Top 14
Baptiste Pesenti,03/07/1997,Baptiste,Pesenti,195,118,France,2ème ligne,Stade Francais Paris,Top 14
Remi Picquette,23/02/1995,Remi,Picquette,200,117,#N/A,2ème ligne,Pau,Top 14
Tevita Ratuva,08/05/1995,Tevita,Ratuva,198,122,Fidji,2ème ligne,Clermont,Top 14
Swan Rebbadj,15/01/1995,Swan,Rebbadj,201,115,France,2ème ligne,Toulon,Top 14
David Ribbans,29/08/1995,David,Ribbans,202,121,Afrique du sud,2ème ligne,Toulon,Top 14
Will Rowlands,19/09/1991,Will,Rowlands,203,125,Angleterre,2ème ligne,Racing 92,Top 14
Rob Simmons,19/04/1989,Rob,Simmons,204,115,Australie,2ème ligne,Clermont,Top 14
Will Skelton,03/05/1992,Will,Skelton,203,145,Nouvelle-Zélande,2ème ligne,La Rochelle,Top 14
Tom Staniforth,13/08/1994,Tom,Staniforth,198,124,Australie,2ème ligne,Castres,Top 14
Mathieu Tanguy,05/06/1996,Mathieu,Tanguy,195,107,France,2ème ligne,Perpignan,Top 14
Romain Taofifenua,14/09/1990,Romain,Taofifenua,203,138,France,2ème ligne,Racing 92,Top 14
Posolo Tuilagi,28/07/2004,Posolo,Tuilagi,192,145,Samoa,2ème ligne,Perpignan,Top 14
Setareki Turagacoke,12/06/2006,Setareki,Turagacoke,192,110,Fidji,2ème ligne,Stade Francais Paris,Top 14
Tjiuee Uanivi,31/12/1990,Tjiuee,Uanivi,201,99,Namibie,2ème ligne,Montauban,Top 14
Matthieu Uhila,30/04/2002,Matthieu,Uhila,200,113,France,2ème ligne,Montpellier,Top 14
Florent Vanverberghe,22/07/2000,Florent,Vanverberghe,198,120,France,2ème ligne,Castres,Top 14
Clement Verge,13/09/2001,Clement,Verge,200,123,#N/A,2ème ligne,Toulouse,Top 14
Florian Verhaeghe,27/04/1997,Florian,Verhaeghe,203,110,France,2ème ligne,Montpellier,Top 14
Adrien Warion,07/01/2001,Adrien,Warion,202,115,France,2ème ligne,Perpignan,Top 14
Theo William,04/07/2000,Theo,William,194,108,#N/A,2ème ligne,Lyon,Top 14
Nafi Ma'afu,19/06/1998,Nafi,Ma'afu,201,110,Etats-Unis,2ème ligne,Montauban,Top 14
Esteban Abadie,01/12/1997,Esteban,Abadie,188,100,France,3ème ligne,Toulon,Top 14
Gregory Alldritt,23/03/1997,Gregory,Alldritt,191,113,#N/A,3ème ligne,La Rochelle,Top 14
Liam Allen,17/03/2000,Liam,Allen,191,105,Nouvelle-Zélande,3ème ligne,Lyon,Top 14
Tyler Ardron,16/06/1991,Tyler,Ardron,197,108,Canada,3ème ligne,Castres,Top 14
Braxton Lua Asi,27/09/2004,Braxton Lua,Asi,,,#N/A,3ème ligne,Stade Francais Paris,Top 14
Mathieu Babillot,09/09/1993,Mathieu,Babillot,190,110,France,3ème ligne,Castres,Top 14
Leo Banos,16/08/2002,Leo,Banos,191,100,France,3ème ligne,Toulouse,Top 14
Maxime Baudonne,12/07/2002,Maxime,Baudonne,190,95,France,3ème ligne,Racing 92,Top 14
Alexandre Becognee,03/09/1996,Alexandre,Becognee,188,105,#N/A,3ème ligne,Montpellier,Top 14
Steeve Blanc-Mappaz,12/07/1990,Steeve,Blanc-Mappaz,190,102,France,3ème ligne,Lyon,Top 14
Pierre Bochaton,17/04/2001,Pierre,Bochaton,197,103,France,3ème ligne,Bordeaux Bègles,Top 14
Arno Botha,26/10/1991,Arno,Botha,190,108,Afrique du sud,3ème ligne,Lyon,Top 14
Levani Botia,14/03/1989,Levani,Botia,182,103,Fidji,3ème ligne,La Rochelle,Top 14
Paul Boudehent,21/11/1999,Paul,Boudehent,192,107,France,3ème ligne,La Rochelle,Top 14
Josselin Bouhier,18/01/2003,Josselin,Bouhier,190,91,France,3ème ligne,Pau,Top 14
Romain Briatte,18/02/1993,Romain,Briatte,194,97,France,3ème ligne,Stade Francais Paris,Top 14
Rodrigo Bruni,03/09/1993,Rodrigo,Bruni,187,109,Argentine,3ème ligne,Bayonne,Top 14
Yacouba Camara,02/06/1994,Yacouba,Camara,195,112,France,3ème ligne,Montpellier,Top 14
Soumaila Camara,30/09/2003,Soumaila,Camara,187,101,#N/A,3ème ligne,Racing 92,Top 14
Judicael Cancoriet,25/04/1996,Judicael,Cancoriet,194,112,#N/A,3ème ligne,La Rochelle,Top 14
Esteban Capilla,05/01/2003,Esteban,Capilla,197,99,France,3ème ligne,Bayonne,Top 14
Mathis Castro-Ferreira,13/01/2004,Mathis,Castro-Ferreira,192,105,France,3ème ligne,Toulouse,Top 14
Ryan Chapuis,12/12/1997,Ryan,Chapuis,190,105,France,3ème ligne,Stade Francais Paris,Top 14
Meric Chiffrin,06/01/2006,Meric,Chiffrin,,,#N/A,3ème ligne,Stade Francais Paris,Top 14
Baptiste Chouzenoux,07/08/1993,Baptiste,Chouzenoux,200,107,France,3ème ligne,Bayonne,Top 14
Baptiste Cope,09/02/2002,Baptiste,Cope,186,102,France,3ème ligne,Castres,Top 14
Corentin Coularis,29/08/2002,Corentin,Coularis,191,107,France,3ème ligne,Montauban,Top 14
Jules Coulon,04/07/2002,Jules,Coulon,189,104,France,3ème ligne,Toulon,Top 14